Zooniverse ID,Classification count,Page ID,Image scale,Type,Coords,Value
ASC0000y54,7,12536652,0.5025125628140703,Page keywords,[],"[""King"", ""Athelstan"", ""Abbey"", ""church"", ""Malmesbury"", ""tomb"", ""malmesbury abbey church"", ""king athelstan"", ""Tomb"", ""King Athelstan"", ""malmesbury Abbey Church"", ""the tomb called \""King Athelstant's\"""", ""Abbey Church"", ""history"", ""desk with a statue of lying man"", ""lion statue at feet"", ""malmesbury"", ""king""]"
ASC0000y54,7,12536652,0.5025125628140703,drawing,"[0, 0, 28, 96, 782, 1265]","{""keywords""=>[""malmesbury abbey church"", ""king athelstan"", ""tomb"", ""the tomb called \""King Athelstant's\"""", ""Malmesbury"", ""Abbey Church"", ""history"", ""desk with a statue of lying man"", ""lion statue at feet"", ""malmesbury"", ""king""]}"
ASC0000y54,7,12536652,0.5025125628140703,contributor,"[66, 1263, 0, 0, 0, 0]","{""name""=>[""Edw.Kite"", ""blank"", ""Edw. Kite, anastat""], ""role""=>[""lithographer"", ""blank""]}"
ASC0000y1e,7,12536739,0.5025125628140703,Page keywords,[],"[""malmesbury"", ""seal"", ""malmesbury abbey"", ""oak carving"", ""p audley levell"", ""Malmesbury Abbey"", ""malmsbury abbey"", ""seals"", ""Seal"", ""Abbey"", ""Malmsbury"", ""Thomas"", ""Prior "", ""P Audley Lovell"", ""crown"", ""royalty"", ""abbey"", ""impression"", ""chapter"", ""house"", ""westminster"", ""oak"", ""carving"", ""audley"", ""lovell"", ""prior""]"
ASC0000y1e,7,12536739,0.5025125628140703,contributor,"[720, 1351, 0, 0, 0, 0]","{""name""=>[""Edw.Kite"", ""Edw. Kite"", ""Edw Kite"", ""Edward Kite""], ""role""=>[""illustrator"", ""lithographer""]}"
ASC0000y38,7,12536741,0.5025125628140703,Page keywords,[],"[""incised coffin-lids"", ""coffin lids"", ""coffins"", ""malmesbury abbey"", ""church"", ""casket"", ""cross"", ""death"", ""Coffin lids"", ""Malmsbury Abbey"", ""incised coffin lids"", ""archaeology"", ""coffin"", ""lid"", ""Malmesbury"", ""Abbey"", ""carving""]"
ASC0000y38,7,12536741,0.5025125628140703,drawing,"[0, 0, 56, 50, 745, 1289]","{""keywords""=>[""incised coffin-lids"", ""coffin lids"", ""coffins"", ""malmesbury abbey"", ""church"", ""casket"", ""cross"", ""death"", ""incised coffin lids""]}"
ASC0000y38,7,12536741,0.5025125628140703,contributor,"[700, 1302, 0, 0, 0, 0]","{""name""=>[""Edvr. Kite"", ""Edw.Kite"", ""Edw Kite"", ""Edward Kite""], ""role""=>[""engraver"", ""lithographer"", ""artist""]}"
ASC0000y42,8,12536744,0.5742411812961444,Page keywords,[],"[""tile paving"", ""abbey church"", ""Malmesbury"", ""foldout"", ""remains of tile paving in malmesbury abbey church"", ""1863"", ""architecture"", ""archaeology"", ""history"", ""decoration"", ""plant motives"", ""rabbit"", ""hare"", ""bear or pig holding a vase"", ""leaves"", ""triangles"", ""escutcheon"", ""coat of arms"", ""malmesbury abbey"", ""tiled paving remains"", ""malmesbury abbey church"", ""tile"", ""animals"", ""symmetry""]"
ASC0000y42,8,12536744,0.5742411812961444,drawing,"[0, 0, 30, 35, 1348, 1118]","{""keywords""=>[""foldout"", ""remains of tile paving in malmesbury abbey church"", ""1863"", ""architecture"", ""archaeology"", ""history"", ""decoration"", ""plant motives"", ""rabbit"", ""hare"", ""bear or pig holding a vase"", ""leaves"", ""triangles"", ""escutcheon"", ""coat of arms"", ""malmesbury abbey"", ""tiled paving remains"", ""tile paving"", ""malmesbury abbey church""]}"
ASC0000y42,8,12536744,0.5742411812961444,contributor,"[1298, 1092, 0, 0, 0, 0]","{""name""=>[""Edw. Kite del. anastat"", ""Edw Kite"", ""Edw. Kite"", ""Edw Kue del Garastae ?""], ""role""=>[""lithographer"", ""artist""]}"
ASC0000y01,7,12536746,0.5025125628140703,Page keywords,[],"[""St. Paul's Church Malmsbury"", ""Windows"", ""Architecture"", ""st paul's church malmesbury"", ""Details of St. Paul's Church"", ""Malmesbury"", ""destroyed"", ""side view"", ""nave window"", ""elevation of pier"", ""east window of chancel"", ""history"", ""architecture"", ""Gothic"", ""detail"", ""column"", ""arch"", ""window"", ""glass"", ""st. paul's"", ""saint"", ""paul"", ""st"", ""malmesbury"", ""destroy"", ""church""]"
ASC0000y01,7,12536746,0.5025125628140703,drawing,"[0, 0, 13, 68, 813, 1293]","{""keywords""=>[""st paul's church malmesbury"", ""Details of St. Paul's Church"", ""Malmesbury"", ""destroyed"", ""side view"", ""nave window"", ""elevation of pier"", ""east window of chancel"", ""history"", ""architecture"", ""Gothic"", ""detail"", ""column"", ""arch"", ""window"", ""glass"", ""st. paul's"", ""saint"", ""paul"", ""st"", ""malmesbury"", ""destroy""]}"
ASC0000y01,7,12536746,0.5025125628140703,contributor,"[757, 1287, 0, 0, 0, 0]","{""name""=>[""J.H. Webb"", ""J H Webb"", ""J. H. Webb""], ""role""=>[""artist"", ""illustrator""]}"
ASC0000y01,7,12536746,0.5025125628140703,contributor,"[772, 160, 0, 0, 0, 0]","{""name""=>[""Edward Kite"", ""Edw Kite"", ""Edw. Kite, anastat""], ""role""=>[""lithographer"", ""other""]}"
ASC0000xyd,7,12536747,0.5025125628140703,Page keywords,[],"[""ground plan"", ""st pauls church"", ""malmesbury"", ""st Paul's church malmesbury"", ""Floorplan"", ""Church"", ""St Paul's"", ""Malmesbury"", ""plan"", ""church""]"
ASC0000xw3,6,12536796,0.5025125628140703,Page keywords,[],"[""urns"", ""large cromlech"", ""guernsey"", ""graves"", ""l'ancresse"", ""cromlech"", ""urn"", ""pot"", ""ancresse"", ""sarge"", ""archaeology"", ""Urns"", ""L'Ancresse"", ""Guernsey""]"
ASC0000xw3,6,12536796,0.5025125628140703,drawing,"[0, 0, 65, 53, 720, 1294]","{""keywords""=>[""urns"", ""large cromlech"", ""guernsey"", ""graves"", ""l'ancresse"", ""cromlech"", ""urn"", ""pot"", ""ancresse"", ""sarge""]}"
ASC0000y0e,7,12536799,0.5025125628140703,Page keywords,[],"[""Danish round barrow"", ""Danish long barrow"", ""British barrow"", ""stone constructions comparison"", ""history"", ""barrow"", ""comparison of barrows:graves"", ""british"", ""danish"", ""archaeology"", ""burial mounds"", ""denmark"", ""britain""]"
ASC0000y0e,7,12536799,0.5025125628140703,contributor,"[747, 1250, 0, 0, 0, 0]","{""name""=>[""WAL?"", ""W C L""], ""role""=>[""other"", ""lithographer""]}"
ASC0000xwy,7,12536803,0.5025125628140703,Page keywords,[],"[""cromlech (Creux-des-Fées) Guernsey"", ""showing entrance"", ""archaeology"", ""history"", ""underground"", ""cromlech"", ""guernsey"", ""graves"", ""creux-des-fees"", ""stone"", ""rock"", ""creux"", ""des"", ""fees"", ""entrance"", ""entry"", ""Cromlech"", ""Guernsey""]"
ASC0000xwy,7,12536803,0.5025125628140703,drawing,"[0, 0, 78, 51, 706, 1323]","{""keywords""=>[""cromlech"", ""guernsey"", ""graves"", ""creux-des-fees"", ""stone"", ""rock"", ""creux"", ""des"", ""fees"", ""entrance"", ""entry""]}"
ASC0000y0n,6,12536805,0.5025125628140703,Page keywords,[],"[""cromlechs"", ""cromlech"", ""guernsey"", ""Archeology"", ""graves"", ""rock"", ""stone"", ""slab""]"
ASC0000xry,7,12536809,0.5025125628140703,Page keywords,[],"[""Archeology"", ""rock"", ""archeology"", ""tomb"", ""chromlech"", ""henge"", ""large cromlech"", ""guernsey"", ""graves"", ""cromlech"", ""chambers"", ""showing"", ""chamber""]"
ASC0000xry,7,12536809,0.5025125628140703,drawing,"[0, 0, 64, 82, 683, 1276]","{""keywords""=>[""large cromlech"", ""guernsey"", ""Archeology"", ""graves"", ""cromlech"", ""chambers""]}"
ASC0000xry,7,12536809,0.5025125628140703,inscription,"[309, 1326, 0, 0, 0, 0]","{""text""=>[""Large Cromlech, E'Ancresse, Guernsen"", ""Showing Ceamber"", ""showing chamber"", ""Large Cromlech, F'Aucresse, Guernsey. showing chamber""]}"
ASC0000y23,8,12536811,0.5025125628140703,Page keywords,[],"[""qavr'innis"", ""Brittany"", ""Plan of Gavr'-innis"", ""Long Barrow"", ""western chamber"", ""covered way"", ""archaeology"", ""history"", ""gaur-innis"", ""long barrow"", ""brittany"", ""gavr'-innis brttany long barrow chamber archeology""]"
ASC0000xp4,6,12536814,0.5025125628140703,Page keywords,[],"[""plan of Cromlech in Brittany"", ""Western chamber"", ""covered way"", ""archaeology"", ""cromlech"", ""brittany"", ""plant"", ""agriculture"", ""garden diagram"", ""graves"", ""chambers"", ""Cromlech"", ""Brittany""]"
ASC0000xp4,6,12536814,0.5025125628140703,map,"[0, 0, 27, 78, 787, 1289]","{""keywords""=>[""plan of Cromlech in Brittany"", ""Western chamber"", ""covered way"", ""archaeology"", ""cromlech"", ""brittany"", ""graves"", ""chambers"", ""Cromlech"", ""Brittany""]}"
ASC0000y6l,6,12536817,0.5025125628140703,Page keywords,[],"[""Archeology"", ""Channel Islands"", ""cromlech"", ""L'Ancresse Guernsey"", ""graves"", ""guernsey"", ""l'ancresse"", ""plan of Large cromlech"", ""l'Ancresse"", ""Guernsey"", ""western chamber"", ""covered way"", ""Stone Circle at base of tumulus"", ""roofing stone displaced"", ""history"", ""archaeology"", ""cromlach""]"
ASC0000xym,8,12536820,0.5025125628140703,Page keywords,[],"[""stones"", ""Guernsey"", ""Creux-des-fees"", ""round barrow"", ""guernsey"", ""graves"", ""tumulus"", ""creux-des-fees"", ""barrow"", ""plan"", ""archeology""]"
ASC0000xym,8,12536820,0.5025125628140703,inscription,"[362, 262, 0, 0, 0, 0]","{""text""=>[""CREUX-DES-FEES"", ""Round Barrow."", ""Creux-Des-Fees\nRound Barrow""]}"
ASC0000xym,8,12536820,0.5025125628140703,inscription,"[412, 929, 0, 0, 0, 0]","{""text""=>[""4."", ""2."", ""2""]}"
ASC0000xym,8,12536820,0.5025125628140703,inscription,"[85, 1185, 0, 0, 0, 0]","{""text""=>[""1. Western Chamber."", ""2. Dovered Way."", ""3. Stone cicle at base of Tumulus."", ""4. Roofing stone displaced.""]}"
ASC0000xy2,7,12536825,0.5025125628140703,Page keywords,[],"[""Urns from large cromlech"", ""L'Aucresse"", ""Guernsey"", ""archaeology"", ""history"", ""vase"", ""urns"", ""large cromlech"", ""guernsey"", ""Urns"", ""Cromlech"", ""Gurnsey"", ""Archaeology"", ""graves"", ""l'ancresse"", ""cromlech"", ""pots"", ""ceramics"", ""pottery"", ""urn"", ""craft"", ""broken""]"
ASC0000xus,7,12536827,0.5025125628140703,Page keywords,[],"[""pottery"", ""archeology"", ""archaeology"", ""urns"", ""Guernsey"", ""cromlech"", ""guernsey"", ""Archeology"", ""Cromley""]"
ASC0000xus,7,12536827,0.5025125628140703,drawing,"[0, 0, 74, 58, 718, 1270]","{""keywords""=>[""urns"", ""cromlech"", ""guernsey"", ""pottery"", ""archaeology"", ""Archeology"", ""Cromley"", ""Guernsey""]}"
ASC0000xpd,5,12536832,0.5025125628140703,Page keywords,[],"[""skeletons"", ""Du Tus skeletons Guernsey"", ""cromlech du tus"", ""guernsey"", ""Kneeing skeletons found in side chamber B (see plan"", ""page 15b)"", ""Guernsey"", ""archaeology"", ""hisotry"", ""graves"", ""cromlech""]"
ASC0000y07,9,12536845,0.5025125628140703,Page keywords,[],"[""pottery"", ""urns"", ""cromlech"", ""channel islands"", ""archeology"", ""pot"", ""urn"", ""drawing"", ""ceramics"", ""archaelolgy"", ""Channel Islands"", ""Cromlechs"", ""broken""]"
ASC0000y07,9,12536845,0.5025125628140703,drawing,"[0, 0, 86, 37, 696, 1265]","{""keywords""=>[""cromlech"", ""urns"", ""channel islands"", ""pottery"", ""archeology"", ""pot"", ""urn"", ""drawing"", ""ceramics""]}"
ASC0000y07,9,12536845,0.5025125628140703,inscription,"[453, 1211, 0, 0, 0, 0]","{""text""=>[""15"", ""Urns from Cromlechs in Channel Islands.""]}"
ASC0000y0l,5,12536847,0.5025125628140703,Page keywords,[],"[""urns"", ""large cromlech"", ""guernsey"", ""Urns from Large Cromlech"", ""L'Aucresse"", ""Guernsey"", ""decorated"", ""archaeology"", ""history"", ""pots"", ""ceramics"", ""artifacts"", ""graves"", ""l'ancresse"", ""cromlech""]"
ASC0000y0l,5,12536847,0.5025125628140703,drawing,"[0, 0, 63, 108, 714, 1248]","{""keywords""=>[""urns"", ""Urns from Large Cromlech"", ""L'Aucresse"", ""Guernsey"", ""decorated"", ""archaeology"", ""history"", ""graves"", ""guernsey"", ""l'ancresse"", ""cromlech"", ""large cromlech""]}"
ASC0000xyb,7,12536849,0.5025125628140703,Page keywords,[],"[""Urns from Large Cromlech"", ""L'Aucresse"", ""Guernsey"", ""archaeology"", ""vase"", ""graves"", ""guernsey"", ""l'ancresse"", ""cromlech"", ""urns"", ""stone"", ""urn"", ""pottery"", ""channel islands""]"
ASC0000xyb,7,12536849,0.5025125628140703,drawing,"[0, 0, 81, 52, 691, 1295]","{""keywords""=>[""Urns from Large Cromlech"", ""L'Aucresse"", ""Guernsey"", ""archaeology"", ""vase"", ""graves"", ""guernsey"", ""l'ancresse"", ""cromlech"", ""urns""]}"
ASC0000y0k,7,12536928,0.5025125628140703,Page keywords,[],"[""Stourton House"", ""South"", ""architecture"", ""drawing"", ""1674 "", ""old stourton house"", ""south prospect"", ""house"", ""sketch"", ""Stourton"", ""building"", ""stone"", ""parapet"", ""Old Stourton House"", ""South Prospect"", ""rude sketch"", ""John Aubrey 1674""]"
ASC0000y0k,7,12536928,0.5025125628140703,drawing,"[0, 0, 39, 33, 760, 1346]","{""keywords""=>[""old stourton house"", ""south prospect"", ""house"", ""sketch"", ""architecture"", ""Stourton"", ""building"", ""stone"", ""parapet"", ""Old Stourton House"", ""South Prospect""]}"
ASC0000xvh,6,12536929,0.5025125628140703,Page keywords,[],"[""map"", ""stourton"", ""kilmington"", ""plan"", ""geology"", ""Wiltshire"", ""Plan""]"
ASC0000xvh,6,12536929,0.5025125628140703,map,"[0, 0, -7, 57, 852, 1286]","{""keywords""=>[""map"", ""stourton"", ""kilmington"", ""plan"", ""geology"", ""Wiltshire""]}"
ASC0000y15,7,12536934,0.5025125628140703,Page keywords,[],"[""Kilmington church"", ""co: somerset"", ""the tower chamber in which the Hartgills were confined"", ""the church house mentioned in the Narrative of the Murder"", ""Church"", ""Kilmington Church"", ""from a photograph"", ""kilmington church"", ""somerset"", ""photolithograph""]"
ASC0000y15,7,12536934,0.5025125628140703,drawing,"[0, 0, 23, 108, 787, 1170]","{""keywords""=>[""Kilmington church"", ""co: somerset"", ""the tower chamber in which the Hartgills were confined"", ""the church house mentioned in the Narrative of the Murder"", ""kilmington church"", ""somerset"", ""photolithograph""]}"
ASC0000y15,7,12536934,0.5025125628140703,contributor,"[727, 1111, 0, 0, 0, 0]","{""name""=>[""Edw. Kite phot et anastat."", ""Edward Kite"", ""Edw. Kite"", ""Edw Kite""], ""role""=>[""lithographer""]}"
ASC0000xn5,7,12538540,0.5109489051094891,Page keywords,[],"[""jewelry"", ""necklace"", ""ring"", ""and bead ornaments"", ""archaeology"", ""vestges of the earliest inhabitants of Wiltshire"", ""Fdu: Kite"", ""anastar"", ""bead"", ""ornaments"", ""Grave contents"", ""jewellery"", ""bead ornament""]"
ASC0000xn5,7,12538540,0.5109489051094891,drawing,"[0, 0, 37, 49, 788, 1317]","{""keywords""=>[""jewelry"", ""necklace"", ""ring"", ""and bead ornaments"", ""archaeology"", ""vestges of the earliest inhabitants of Wiltshire"", ""Fdu: Kite"", ""anastar"", ""bead"", ""ornaments"", ""Grave contents"", ""jewellery"", ""bead ornament""]}"
ASC0000xn5,7,12538540,0.5109489051094891,contributor,"[776, 177, 0, 0, 0, 0]","{""name""=>[""Edw. Kite anastat"", ""Fdu: Kite, anastar:"", ""Edw:Kite""], ""role""=>[""lithographer"", ""other""]}"
ASC0000xn5,7,12538540,0.5109489051094891,contributor,"[417, -121, 0, 0, 0, 0]","{""name""=>[""Edw Kite"", ""blank""], ""role""=>[""lithographer"", ""blank""]}"
ASC0000xn5,7,12538540,0.5109489051094891,contributor,"[82, -98, 0, 0, 0, 0]","{""name""=>[""blank"", ""Edw Kite""], ""role""=>[""blank"", ""illustrator""]}"
