TitleID,ItemID,PageID,HasImage,ZooID
51125,108495,34891593,YES,
51125,108495,34891592,NO,ASC0001edd
51125,108495,34891591,NO,ASC0001eja
51125,108495,34891590,NO,ASC0001e3r
51125,108495,34891589,NO,ASC0001eh9
51125,108495,34891588,NO,ASC0001ecv
51125,108495,34891587,YES,ASC0001e82
51125,108495,34891586,NO,ASC0001ec1
51125,108495,34891585,NO,ASC0001e9f
51125,108495,34891584,NO,ASC0001esi
51125,108495,34891583,NO,ASC0001emy
51125,108495,34891582,NO,ASC0001eu8
51125,108495,34891581,NO,ASC0001ev5
51125,108495,34891580,NO,ASC0001ers
51125,108495,34891579,NO,ASC0001eup
51125,108495,34891578,NO,ASC0001eml
51125,108495,34891577,NO,ASC0001esy
51125,108495,34891576,NO,ASC0001eqb
51125,108495,34891575,NO,ASC0001eu1
51125,108495,34891574,NO,ASC0001es0
51125,108495,34891573,NO,ASC0001eq9
51125,108495,34891572,NO,ASC0001er1
51125,108495,34891571,NO,ASC0001erz
51125,108495,34891570,NO,ASC0001euf
51125,108495,34891569,NO,ASC0001er9
51125,108495,34891568,NO,ASC0001esh
51125,108495,34891567,NO,ASC0001eu6
51125,108495,34891566,NO,ASC0001ese
51125,108495,34891565,YES,ASC0001esr
51125,108495,34891564,NO,ASC0001ey3
51125,108495,34891563,NO,ASC0001etk
51125,108495,34891562,YES,ASC0001ep1
51125,108495,34891561,NO,ASC0001evp
51125,108495,34891560,NO,ASC0001eox
51125,108495,34891559,NO,ASC0001exq
51125,108495,34891558,NO,ASC0001et9
51125,108495,34891557,NO,ASC0001eon
51125,108495,34891556,NO,ASC0001etb
51125,108495,34891523,NO,ASC0001evl
51125,108495,34891524,NO,ASC0001eu7
51125,108495,34891525,NO,ASC0001evg
51125,108495,34891526,NO,ASC0001euo
51125,108495,34891527,NO,ASC0001ew4
51125,108495,34891528,NO,ASC0001es2
51125,108495,34891529,NO,ASC0001ewl
51125,108495,34891530,NO,ASC0001f3c
51125,108495,34891531,NO,ASC0001ezp
51125,108495,34891532,NO,ASC0001evt
51125,108495,34891533,NO,ASC0001ex5
51125,108495,34891534,NO,ASC0001eva
51125,108495,34891535,NO,ASC0001eoj
51125,108495,34891536,NO,ASC0001et2
51125,108495,34891537,NO,ASC0001et3
51125,108495,34891538,NO,ASC0001eqd
51125,108495,34891539,NO,ASC0001exy
51125,108495,34891540,NO,ASC0001et0
51125,108495,34891541,NO,ASC0001euq
51125,108495,34891542,NO,ASC0001eu9
51125,108495,34891543,NO,ASC0001ew0
51125,108495,34891544,NO,ASC0001ert
51125,108495,34891545,NO,ASC0001eud
51125,108495,34891546,NO,ASC0001ews
51125,108495,34891547,NO,ASC0001eql
51125,108495,34891548,NO,ASC0001er2
51125,108495,34891549,NO,ASC0001erc
51125,108495,34891550,NO,ASC0001esw
51125,108495,34891551,NO,ASC0001esf
51125,108495,34891552,NO,ASC0001ewj
51125,108495,34891553,NO,ASC0001euy
51125,108495,34891554,NO,ASC0001eye
51125,108495,34891555,NO,ASC0001erd
51125,108495,34891594,NO,ASC0001esv
51125,108495,34891595,NO,ASC0001euw
51125,108495,34891596,NO,ASC0001eur
51125,108495,34891597,NO,ASC0001evz
51125,108495,34891598,NO,ASC0001ep9
51125,108495,34891599,NO,ASC0001ei5
51125,108495,34891600,NO,ASC0001euj
51125,108495,34891601,NO,ASC0001eum
51125,108495,34891602,NO,ASC0001ey7
51125,108495,34891603,NO,ASC0001ewg
51125,108495,34891604,NO,ASC0001eue
51125,108495,34891605,NO,ASC0001eu2
51125,108495,34891606,NO,ASC0001ey6
51125,108495,34891607,NO,ASC0001en8
51125,108495,34891608,NO,ASC0001ewc
51125,108495,34891609,NO,ASC0001esz
51125,108495,34891610,NO,ASC0001ex3
51125,108495,34891611,NO,ASC0001etn
51125,108495,34891612,NO,ASC0001eyw
51125,108495,34891613,NO,ASC0001et8
51125,108495,34891614,NO,ASC0001evj
51125,108495,34891615,NO,ASC0001evv
51125,108495,34891616,NO,ASC0001eus
51125,108495,34891617,NO,ASC0001eow
51125,108495,34891618,NO,ASC0001ex7
51125,108495,34891619,NO,ASC0001eui
51125,108495,34891620,NO,ASC0001eyt
51125,108495,34891621,NO,ASC0001err
51125,108495,34891622,NO,ASC0001ep4
51125,108495,34891623,NO,ASC0001evo
51125,108495,34891624,NO,ASC0001epz
51125,108495,34891625,NO,ASC0001ets
51125,108495,34891626,NO,ASC0001esg
51125,108495,34891627,NO,ASC0001ev0
51125,108495,34891628,NO,ASC0001ewq
51125,108495,34891629,NO,ASC0001etp
51125,108495,34891630,NO,ASC0001esk
51125,108495,34891631,NO,ASC0001eu4
51125,108495,34891632,NO,ASC0001eyv
51125,108495,34891633,NO,ASC0001ett
51125,108495,34891634,NO,ASC0001evy
51125,108495,34891635,NO,ASC0001epe
51125,108495,34891636,NO,ASC0001etm
51125,108495,34891637,NO,ASC0001eqc
51125,108495,34891638,NO,ASC0001euc
51125,108495,34891639,NO,ASC0001ew2
51125,108495,34891640,NO,ASC0001eti
51125,108495,34891641,NO,ASC0001ewi
51125,108495,34891642,NO,ASC0001es1
51125,108495,34891643,NO,ASC0001ewa
51125,108495,34891644,NO,ASC0001evc
51125,108495,34891645,NO,ASC0001eyk
51125,108495,34891646,NO,ASC0001ewm
51125,108495,34891647,NO,ASC0001evd
51125,108495,34891648,NO,ASC0001etz
51125,108495,34891649,YES,ASC0001ev8
51125,108495,34891650,NO,ASC0001exc
